id,price
23492,9999999
23493,9999999
23494,8888888
23495,8888889
23496,10000000
23497,10000000
23498,8888889
23499,8888890
23500,10000001
23501,10000001
23502,8888890
23503,8888891
23504,10000002
23505,10000002
23506,8888891
23507,8888892
23508,10000003
23509,10000003
23510,8888892
23511,8888893
23512,10000004
23513,10000004
23514,8888893
23515,8888894
23516,10000005
23517,10000005
23518,8888894
23519,8888895
23520,10000006
23521,10000006
23522,8888895
23523,8888896
23524,10000007
23525,10000007
23526,8888896
23527,8888897
23528,10000008
23529,10000008
23530,8888897
23531,8888898
23532,10000009
23533,10000009
23534,8888898
23535,8888899
23536,10000010
23537,10000010
23538,8888899
23539,8888900
23540,10000011
23541,10000011
23542,8888900
23543,8888901
23544,10000012
23545,10000012
23546,8888901
23547,8888902
23548,10000013
23549,10000013
23550,8888902
23551,8888903
23552,10000014
23553,10000014
23554,8888903
23555,8888904
23556,10000015
23557,10000015
23558,8888904
23559,8888905
23560,10000016
23561,10000016
23562,8888905
23563,8888906
23564,10000017
23565,10000017
23566,8888906
23567,8888907
23568,10000018
23569,10000018
23570,8888907
23571,8888908
23572,10000019
23573,10000019
23574,8888908
23575,8888909
23576,10000020
23577,10000020
23578,8888909
23579,8888910
23580,10000021
23581,10000021
23582,8888910
23583,8888911
23584,10000022
23585,10000022
23586,8888911
23587,8888912
23588,10000023
23589,10000023
23590,8888912
23591,8888913
23592,10000024
23593,10000024
23594,8888913
23595,8888914
23596,10000025
23597,10000025
23598,8888914
23599,8888915
23600,10000026
23601,10000026
23602,8888915
23603,8888916
23604,10000027
23605,10000027
23606,8888916
23607,8888917
23608,10000028
23609,10000028
23610,8888917
23611,8888918
23612,10000029
23613,10000029
23614,8888918
23615,8888919
23616,10000030
23617,10000030
23618,8888919
23619,8888920
23620,10000031
23621,10000031
23622,8888920
23623,8888921
23624,10000032
23625,10000032
23626,8888921
23627,8888922
23628,10000033
23629,10000033
23630,8888922
23631,8888923
23632,10000034
23633,10000034
23634,8888923
23635,8888924
23636,10000035
23637,10000035
23638,8888924
23639,8888925
23640,10000036
23641,10000036
23642,8888925
23643,8888926
23644,10000037
23645,10000037
23646,8888926
23647,8888927
23648,10000038
23649,10000038
23650,8888927
23651,8888928
23652,10000039
23653,10000039
23654,8888928
23655,8888929
23656,10000040
23657,10000040
23658,8888929
23659,8888930
23660,10000041
23661,10000041
23662,8888930
23663,8888931
23664,10000042
23665,10000042
23666,8888931
23667,8888932
23668,10000043
23669,10000043
23670,8888932
23671,8888933
23672,10000044
23673,10000044
23674,8888933
23675,8888934
23676,10000045
23677,10000045
23678,8888934
23679,8888935
23680,10000046
23681,10000046
23682,8888935
23683,8888936
23684,10000047
23685,10000047
23686,8888936
23687,8888937
23688,10000048
23689,10000048
23690,8888937
23691,8888938
23692,10000049
23693,10000049
23694,8888938
23695,8888939
23696,10000050
23697,10000050
23698,8888939
23699,8888940
23700,10000051
23701,10000051
23702,8888940
23703,8888941
23704,10000052
23705,10000052
23706,8888941
23707,8888942
23708,10000053
23709,10000053
23710,8888942
23711,8888943
23712,10000054
23713,10000054
23714,8888943
23715,8888944
23716,10000055
23717,10000055
23718,8888944
23719,8888945
23720,10000056
23721,10000056
23722,8888945
23723,8888946
23724,10000057
23725,10000057
23726,8888946
23727,8888947
23728,10000058
23729,10000058
23730,8888947
23731,8888948
23732,10000059
23733,10000059
23734,8888948
23735,8888949
23736,10000060
23737,10000060
23738,8888949
23739,8888950
23740,10000061
23741,10000061
23742,8888950
23743,8888951
23744,10000062
23745,10000062
23746,8888951
23747,8888952
23748,10000063
23749,10000063
23750,8888952
23751,8888953
23752,10000064
23753,10000064
23754,8888953
23755,8888954
23756,10000065
23757,10000065
23758,8888954
23759,8888955
23760,10000066
23761,10000066
23762,8888955
23763,8888956
23764,10000067
23765,10000067
23766,8888956
23767,8888957
23768,10000068
23769,10000068
23770,8888957
23771,8888958
23772,10000069
23773,10000069
23774,8888958
23775,8888959
23776,10000070
23777,10000070
23778,8888959
23779,8888960
23780,10000071
23781,10000071
23782,8888960
23783,8888961
23784,10000072
23785,10000072
23786,8888961
23787,8888962
23788,10000073
23789,10000073
23790,8888962
23791,8888963
23792,10000074
23793,10000074
23794,8888963
23795,8888964
23796,10000075
23797,10000075
23798,8888964
23799,8888965
23800,10000076
23801,10000076
23802,8888965
23803,8888966
23804,10000077
23805,10000077
23806,8888966
23807,8888967
23808,10000078
23809,10000078
23810,8888967
23811,8888968
23812,10000079
23813,10000079
23814,8888968
23815,8888969
23816,10000080
23817,10000080
23818,8888969
23819,8888970
23820,10000081
23821,10000081
23822,8888970
23823,8888971
23824,10000082
23825,10000082
23826,8888971
23827,8888972
23828,10000083
