id,price
23492,999
23493,1000
23494,8888888
23495,8888889
23496,8888890
23497,8888891
23498,8888892
23499,8888893
23500,8888894
23501,8888895
23502,8888896
23503,8888897
23504,8888898
23505,8888899
23506,8888900
23507,8888901
23508,8888902
23509,8888903
23510,8888904
23511,8888905
23512,8888906
23513,8888907
23514,8888908
23515,8888909
23516,8888910
23517,8888911
23518,8888912
23519,8888913
23520,8888914
23521,8888915
23522,8888916
23523,8888917
23524,8888918
23525,8888919
23526,8888920
23527,8888921
23528,8888922
23529,8888923
23530,8888924
23531,8888925
23532,8888926
23533,8888927
23534,8888928
23535,8888929
23536,8888930
23537,8888931
23538,8888932
23539,8888933
23540,8888934
23541,8888935
23542,8888936
23543,8888937
23544,8888938
23545,8888939
23546,8888940
23547,8888941
23548,8888942
23549,8888943
23550,8888944
23551,8888945
23552,8888946
23553,8888947
23554,8888948
23555,8888949
23556,8888950
23557,8888951
23558,8888952
23559,8888953
23560,8888954
23561,8888955
23562,8888956
23563,8888957
23564,8888958
23565,8888959
23566,8888960
23567,8888961
23568,8888962
23569,8888963
23570,8888964
23571,8888965
23572,8888966
23573,8888967
23574,8888968
23575,8888969
23576,8888970
23577,8888971
23578,8888972
23579,8888973
23580,8888974
23581,8888975
23582,8888976
23583,8888977
23584,8888978
23585,8888979
23586,8888980
23587,8888981
23588,8888982
23589,8888983
23590,8888984
23591,8888985
23592,8888986
23593,8888987
23594,8888988
23595,8888989
23596,8888990
23597,8888991
23598,8888992
23599,8888993
23600,8888994
23601,8888995
23602,8888996
23603,8888997
23604,8888998
23605,8888999
23606,8889000
23607,8889001
23608,8889002
23609,8889003
23610,8889004
23611,8889005
23612,8889006
23613,8889007
23614,8889008
23615,8889009
23616,8889010
23617,8889011
23618,8889012
23619,8889013
23620,8889014
23621,8889015
23622,8889016
23623,8889017
23624,8889018
23625,8889019
23626,8889020
23627,8889021
23628,8889022
23629,8889023
23630,8889024
23631,8889025
23632,8889026
23633,8889027
23634,8889028
23635,8889029
23636,8889030
23637,8889031
23638,8889032
23639,8889033
23640,8889034
23641,8889035
23642,8889036
23643,8889037
23644,8889038
23645,8889039
23646,8889040
23647,8889041
23648,8889042
23649,8889043
23650,8889044
23651,8889045
23652,8889046
23653,8889047
23654,8889048
23655,8889049
23656,8889050
23657,8889051
23658,8889052
23659,8889053
23660,8889054
23661,8889055
23662,8889056
23663,8889057
23664,8889058
23665,8889059
23666,8889060
23667,8889061
23668,8889062
23669,8889063
23670,8889064
23671,8889065
23672,8889066
23673,8889067
23674,8889068
23675,8889069
23676,8889070
23677,8889071
23678,8889072
23679,8889073
23680,8889074
23681,8889075
23682,8889076
23683,8889077
23684,8889078
23685,8889079
23686,8889080
23687,8889081
23688,8889082
23689,8889083
23690,8889084
23691,8889085
23692,8889086
23693,8889087
23694,8889088
23695,8889089
23696,8889090
23697,8889091
23698,8889092
23699,8889093
23700,8889094
23701,8889095
23702,8889096
23703,8889097
23704,8889098
23705,8889099
23706,8889100
23707,8889101
23708,8889102
23709,8889103
23710,8889104
23711,8889105
23712,8889106
23713,8889107
23714,8889108
23715,8889109
23716,8889110
23717,8889111
23718,8889112
23719,8889113
23720,8889114
23721,8889115
23722,8889116
23723,8889117
23724,8889118
23725,8889119
23726,8889120
23727,8889121
23728,8889122
23729,8889123
23730,8889124
23731,8889125
23732,8889126
23733,8889127
23734,8889128
23735,8889129
23736,8889130
23737,8889131
23738,8889132
23739,8889133
23740,8889134
23741,8889135
23742,8889136
23743,8889137
23744,8889138
23745,8889139
23746,8889140
23747,8889141
23748,8889142
23749,8889143
23750,8889144
23751,8889145
23752,8889146
23753,8889147
23754,8889148
23755,8889149
23756,8889150
23757,8889151
23758,8889152
23759,8889153
23760,8889154
23761,8889155
23762,8889156
23763,8889157
23764,8889158
23765,8889159
23766,8889160
23767,8889161
23768,8889162
23769,8889163
23770,8889164
23771,8889165
23772,8889166
23773,8889167
23774,8889168
23775,8889169
23776,8889170
23777,8889171
23778,8889172
23779,8889173
23780,8889174
23781,8889175
23782,8889176
23783,8889177
23784,8889178
23785,8889179
23786,8889180
23787,8889181
23788,8889182
23789,8889183
23790,8889184
23791,8889185
23792,8889186
23793,8889187
23794,8889188
23795,8889189
23796,8889190
23797,8889191
23798,8889192
23799,8889193
23800,8889194
23801,8889195
23802,8889196
23803,8889197
23804,8889198
